"","Site_ID","p_TE_psi_to_ET","p_lag_psi_to_ET","mem_psi_to_ET","agg_TE_psi_to_ET","period_psi_to_ET","p_TE_VPD_to_ET","p_lag_VPD_to_ET","mem_VPD_to_ET","agg_TE_VPD_to_ET","period_VPD_to_ET","p_TE_TA_to_ET","p_lag_TA_to_ET","mem_TA_to_ET","agg_TE_TA_to_ET","period_TA_to_ET","p_TE_ET_to_psi","p_lag_ET_to_psi","mem_ET_to_psi","agg_TE_ET_to_psi","period_ET_to_psi","p_TE_VPD_to_psi","p_lag_VPD_to_psi","mem_VPD_to_psi","agg_TE_VPD_to_psi","period_VPD_to_psi","p_TE_TA_to_psi","p_lag_TA_to_psi","mem_TA_to_psi","agg_TE_TA_to_psi","period_TA_to_psi","p_TE_ET_to_VPD","p_lag_ET_to_VPD","mem_ET_to_VPD","agg_TE_ET_to_VPD","period_ET_to_VPD","p_TE_psi_to_VPD","p_lag_psi_to_VPD","mem_psi_to_VPD","agg_TE_psi_to_VPD","period_psi_to_VPD","p_TE_TA_to_VPD","p_lag_TA_to_VPD","mem_TA_to_VPD","agg_TE_TA_to_VPD","period_TA_to_VPD","p_TE_ET_to_TA","p_lag_ET_to_TA","mem_ET_to_TA","agg_TE_ET_to_TA","period_ET_to_TA","p_TE_psi_to_TA","p_lag_psi_to_TA","mem_psi_to_TA","agg_TE_psi_to_TA","period_psi_to_TA","p_TE_VPD_to_TA","p_lag_VPD_to_TA","mem_VPD_to_TA","agg_TE_VPD_to_TA","period_VPD_to_TA","GS"
"31","US-Bar",0.59976368316156,0,72,10.1390120736348,24,5.70203980791299,0,72,36.92674371559,24,2.9351846967427,0,72,14.631582500572,24,0.950831137302441,0,72,15.5209251550091,24,0.737354213567584,0,72,11.9521876904417,24,0.676131487101059,0,72,10.0377015942003,24,5.02789237613485,0,72,35.9205997378779,24,0.407622350786206,0,72,6.65734184067771,24,17.7504075904417,0,72,29.1637644864751,NA,2.0423313196375,0,72,11.7492711074058,24,0.313513591767074,0,30,4.93141700599604,24,13.8347647311806,0,72,24.3415897531236,NA,"FT"
"32","US-Bar",0.729176806576646,0,6,12.4808957294127,24,5.42717118577873,0,72,29.6420988144391,12,4.20968502233969,0,72,22.5711607429027,NA,1.35269399485052,0,72,23.8214986690789,12,1.40878498628324,0,72,21.2197169749042,24,1.4998227875559,0,72,21.3580026557416,24,5.02414808072648,0,72,30.8875671442784,12,0.636114062507888,0,9,7.80071187406213,24,25.3472298049055,0,72,42.6688709956911,NA,3.4080897970091,0,72,20.4741740642017,NA,0.602138991937669,0,11,8.55482440636201,24,22.3116915138733,0,72,37.8872402578745,NA,"GS"
"33","US-Bar",0.603202842107418,18,72,12.6017202855961,24,2.90661927945374,0,72,25.3092408344415,24,1.70446336980657,0,72,16.3700856261577,24,0.87179546850816,0,72,17.7827759172611,24,0.650041602767682,1,72,13.9434659064316,NA,0.735297935770784,0,72,14.663445522662,24,2.40728905950106,0,72,22.2706589354407,24,0.390647088458703,1,72,8.51963479587957,24,15.4683727254316,0,72,30.6391018262546,NA,1.12636296810011,0,72,11.3997885888176,24,0.396230827581177,0,38,7.64039152825935,24,11.8342004345001,0,72,22.7130961663772,NA,"NGS"
"34","US-Bi1",0.581957665460343,2,17,11.0071955124326,24,3.39028289028292,0,72,30.2886145564117,24,2.33203681105628,0,72,21.8614418808898,NA,2.2304624391737,23,72,45.6587630582561,24,2.22628347820655,1,72,47.5213012264283,24,2.50944759995373,8,72,50.8924785286305,NA,3.44573554671252,0,72,29.4093528195964,24,0.437808176992101,7,4,5.51125642425407,24,23.4069651982196,0,72,45.8610788241512,NA,1.9152178085834,0,72,18.5876607085795,12,0.414325404046887,1,1,4.86135367338985,21.6,19.8080977550094,0,72,38.9215436353668,NA,"FT"
"35","US-Bi1",0.773232063085897,23,72,15.3693553567012,24,3.04831762062018,0,72,33.5798630167616,24,2.25492141284891,0,72,26.9391018240266,NA,1.93425587611935,1,72,37.2701996979275,24,2.72458156390673,1,72,39.2702999672335,21.6,3.70010479514083,1,72,46.6083724133667,NA,3.00198270306581,0,72,31.2646118233028,27,0.649961224417262,0,11,7.23368314830109,24,24.8959651794919,0,72,51.9461520442996,NA,1.97540911979599,0,6,22.2062815108322,12,0.796898172495807,0,13,10.2678054968036,NA,22.4973969900573,0,72,46.9381514413144,NA,"GS"
"36","US-Bi1",1.28561619293647,0,41,28.7905648649199,NA,5.46683527531275,0,36,62.57396957979,24,4.52158775189265,0,13,53.9186515875246,24,3.2191584699453,12,72,67.9853683524262,21.6,3.13372225633639,1,72,62.1945017489477,21.6,3.36447475170815,23,72,71.1686671371454,NA,5.82263789564343,0,17,55.5477240731017,24,0.891886510645854,5,1,2.6520931079253,24,22.0266862713857,0,72,68.3510005430772,NA,3.72271704740183,0,8,30.440579534091,24,0.960514275455877,1,2,1.90939646087702,43.2,18.270869058003,0,30,57.4208009722241,NA,"NGS"
"37","US-Bi2",0.524324428024803,0,4,3.8067869694019,24,2.68731045744806,0,72,27.589627195836,24,2.00644242106969,0,72,24.0860371839637,NA,3.52557514565577,23,72,65.5121760043186,24,3.96736535349069,21,72,77.4216801918006,24,4.14719328104908,22,72,92.7372390275877,NA,2.44687107368838,0,72,25.4251481726912,24,0.559368526325005,2,9,7.90109217480862,24,25.0982593332684,0,72,50.4869942946489,NA,1.50476954157883,0,8,17.4894552128796,12,0.52042062453882,9,58,10.6821497166188,8,20.1586367758196,0,72,41.2071086478436,NA,"FT"
"38","US-Bi2",1.04367081548175,3,1,3.08083647155928,24,5.33826162076008,0,59,66.9235470357625,24,3.83124273468239,0,47,66.3381442908856,NA,6.45141418474233,21,72,117.183559331057,24,6.99551698974116,18,72,136.248471879797,24,7.34195116397094,8,72,149.937741722145,12,4.23353981960489,0,44,58.8763253482096,27,1.23709315571321,7,3,11.5453724186078,24,29.4695977386503,0,52,89.3677433293132,NA,2.99367337116059,0,4,49.8049966848661,24,1.1704377962738,8,3,7.71103339094771,24,26.5612695329761,0,43,82.0510469960794,NA,"GS"
"39","US-Bi2",0.556625480237482,1,3,3.21203567420767,24,2.41684310062075,0,12,28.1637134825234,24,2.12136228793617,0,72,28.5786361287324,24,3.43713467065787,0,72,68.4129421313286,24,4.63603123830368,21,72,84.0217237087888,24,5.01054124882807,9,72,107.163135988979,NA,2.37209891897457,0,16,23.1145134275548,24,0.698116474636473,4,8,8.1622497462258,24,24.5293115842512,0,72,55.1006399199494,NA,1.68397890527996,0,7,17.8116168864456,24,0.687430857628017,0,6,12.7216360913012,8,18.9657491467866,0,72,43.6993765570273,NA,"NGS"
"40","US-BRG",1.4151806405374,0,8,22.9036200352837,21.6,6.35465246742268,0,72,53.8974239411247,24,3.90434692367412,0,63,31.18928270069,NA,2.7771868180555,1,72,51.3295204771567,24,2.42776905550353,0,72,37.6397823841045,27,4.21983530364729,0,72,38.4895771279238,27,4.95701715399875,0,72,44.7098966151289,24,1.11644326043808,0,12,14.9352245431039,24,16.4748827841158,0,31,39.8264040476728,NA,2.91311539414643,0,15,19.5986460672584,27,2.18814760033099,0,12,18.9699828298386,24,17.1533207841398,0,39,41.1681956312615,NA,"FT"
