,site_id,longitude.x,latitude.x,mukey,OBJECTID,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,X,site_name,data_policy,data_start,data_end,latitude.y,longitude.y,elevation,timezone,avg_air_temp_degC,avg_precip_mm,IGBP_veg,Koppen_clim_class,soil_texture,Description,porosity,psi.ae,lamda,Sf,SOS,EOS,LGS,CH_GLAD,AI_gridded,RD
49,US-Kon,-96.5603,39.0824,1472309,175817,85,U,8.734942704,48.62823529,42.636822,49,Konza Prairie LTER (KNZ),CCBY4.0,2004,2019,39.0824,-96.5603,417,America/Chicago,12.77,867,GRA,Cfa,8,Silty clay loam,0.477,35.6,0.177,27.3,5/13/2015,9/10/2015,120,0,0.631179803,5.818372862
50,US-KS1,-80.6709,28.4583,1473314,294794,100,R,93.15476506,3.25180466,3.593430276,50,Kennedy Space Center (slash pine),CCBY4.0,2002,2003,28.4583,-80.6709,1,America/New_York,21.9,1266,ENF,Cwa,1,Sand,0.395,12.1,0.694,4.95,1/1/2015,12/31/2015,364,0,0.773718126,0.450261366
51,US-KS2,-80.6715,28.6086,1473335,294815,100,R,97.69822352,1.150888239,1.150888239,51,Kennedy Space Center (scrub oak),CCBY4.0,1999,2006,28.6086,-80.6715,3,America/New_York,21.66,1294,CSH,Cwa,1,Sand,0.395,12.1,0.694,4.95,3/18/2015,11/17/2015,244,4,0.795966036,0.592963162
52,US-Lin,-119.0922,36.3566,463619,233833,96,R,44.0765625,30.65,25.2734375,52,Lindcove Orange Orchard,CCBY4.0,2009,2010,36.3566,-119.0922,131,America/Los_Angeles,NA,NA,CRO,Csa,12,Clay,0.482,40.5,0.165,31.63,1/17/2015,12/31/2015,348,2.91,0.205552965,12.56042164
53,US-LS2,-110.1344,31.5659,54996,282778,80,U,41.06480263,36.32171053,22.61348684,53,San Pedro River Lewis Springs Savanna,CCBY4.0,2002,2007,31.5659,-110.1344,1240,America/Phoenix,17,288,SAV,Bwh,6,Loam,0.451,47.8,0.252,8.89,5/5/2015,10/28/2015,176,0,0.16224072,2.062412232
54,US-Me1,-121.5,44.5794,63918,69493,85,U,44.66968325,36.24695597,19.08336078,54,Metolius - Eyerly burn,CCBY4.0,2004,2005,44.5794,-121.5,896,America/Los_Angeles,7.88,704.61,ENF,Csb,3,Sandy loam,0.435,21.8,0.378,11.01,3/10/2015,10/8/2015,212,0,0.490672507,2.750309078
55,US-Me2,-121.5589,44.4526,63925,69497,90,U,42.75342965,34.7872093,22.45936105,55,Metolius mature ponderosa pine,CCBY4.0,2002,2024,44.4526,-121.5589,1253,America/Los_Angeles,6.28,523,ENF,Csb,3,Sandy loam,0.435,21.8,0.378,11.01,4/15/2015,12/3/2015,232,14.99,0.658559787,2.261615391
56,US-Me3,-121.6078,44.3154,NA,NA,NA,NA,59.206585,26.20955527,14.58385972,56,Metolius-second young aged pine,CCBY4.0,2004,2009,44.3154,-121.6078,1005,America/Los_Angeles,7.07,719,ENF,Csb,3,Sandy loam,0.435,21.8,0.378,11.01,1/9/2015,12/11/2015,336,7.27,0.654276045,1.725658395
57,US-Me6,-121.6078,44.3233,NA,NA,NA,NA,59.206585,26.20955527,14.58385972,57,Metolius Young Pine Burn,CCBY4.0,2010,2024,44.3233,-121.6078,998,America/Los_Angeles,7.59,494,ENF,Csb,3,Sandy loam,0.435,21.8,0.378,11.01,3/14/2015,10/12/2015,212,9.7,0.654494638,1.725935175
58,US-MMS,-86.4131,39.3232,535517,178377,100,R,5.665024631,56.4137931,37.92118227,58,Morgan Monroe State Forest,CCBY4.0,1999,2025,39.3232,-86.4131,275,America/Indiana/Indianapolis,10.85,1032,DBF,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/23/2015,10/16/2015,176,25.94,1.298339118,4.367798522
59,US-Mo1,-92.1167,39.2298,184838,184814,90,U,3.376315789,59.10328947,37.52039474,59,LTAR CMRB Field 1 (CMRB ASP),CCBY4.0,2015,2024,39.2298,-92.1167,260,America/Chicago,12,981,CRO,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,6/18/2015,9/18/2015,92,0,0.867068199,2.230699558
60,US-Mo2,-91.9945,38.9488,2532764,186836,100,R,6.300557519,56.33784604,37.36159644,60,LTAR CMRB Tucker Prairie (CMRB TP),CCBY4.0,2018,2024,38.9488,-91.9945,275,America/Chicago,12,981,GRA,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/23/2015,9/26/2015,156,0,0.880028635,2.567825366
61,US-Mo3,-92.1493,39.2322,2532763,184834,100,R,6.300557519,56.33784604,37.36159644,61,LTAR CMRB Field 3 (CMRB BAU),CCBY4.0,2016,2023,39.2322,-92.1493,261,America/Chicago,12,981,CRO,Cfa,6,Loam,0.451,47.8,0.252,8.89,6/14/2015,9/18/2015,96,0,0.856388036,2.23372609
62,US-MOz,-92.2,38.7441,184913,184822,85,U,8.230204952,56.12280413,35.64699091,62,Missouri Ozark Site,CCBY4.0,2004,2021,38.7441,-92.2,219.4,America/Chicago,12.11,986,DBF,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/27/2015,10/4/2015,160,16.4,1.021757366,3.100888964
63,US-Mpj,-106.2377,34.4385,1473972,256546,90,U,59.206585,26.20955527,14.58385972,63,Mountainair Pinyon-Juniper Woodland,CCBY4.0,2008,2024,34.4385,-106.2377,2196,America/Denver,10.5,385,WSA,Bsk,3,Sandy loam,0.435,21.8,0.378,11.01,3/10/2015,10/20/2015,224,0,0.075240977,3.681441027
64,US-NC1,-76.7119,35.8118,116202,239191,90,U,56.08078818,19.62857143,24.29064039,64,NC_Clearcut,CCBY4.0,2005,2012,35.8118,-76.7119,5,America/New_York,16.6,1320,ENF,Cfa,6,Loam,0.451,47.8,0.252,8.89,4/19/2015,10/24/2015,188,18.3,1.120550046,0.676395974
65,US-NC3,-76.656,35.799,116200,239189,90,U,63.34159825,21.9183908,14.74001095,65,NC_Clearcut#3,CCBY4.0,2013,2021,35.799,-76.656,5,America/New_York,16.6,1320,ENF,Cfa,6,Loam,0.451,47.8,0.252,8.89,4/15/2015,10/20/2015,188,20.5,1.092642187,0.455606417
66,US-Ne1,-96.4766,41.1651,1691452,131088,100,R,8.570068966,62.19091626,29.23901478,66,Mead - irrigated continuous maize site,CCBY4.0,2001,2024,41.1651,-96.4766,361,America/Chicago,10.07,790.37,CRO,Dfa,8,Silty clay loam,0.477,35.6,0.177,27.3,6/10/2015,9/10/2015,92,0,0.641956293,2.524667129
67,US-NR1,-105.5464,40.0329,762986,152903,85,U,65.94078947,28.375,5.684210526,67,Niwot Ridge Forest (LTER NWT1),CCBY4.0,1998,2024,40.0329,-105.5464,3050,America/Denver,1.5,800,ENF,Dfc,3,Sandy loam,0.435,21.8,0.378,11.01,5/25/2015,10/12/2015,140,17.99,0.378306365,0.876379558
68,US-Oho,-83.8438,41.5545,169861,121834,100,R,92.26117021,1.3,6.438829787,68,Oak Openings,CCBY4.0,2004,2013,41.5545,-83.8438,230,America/New_York,10.1,849,DBF,Dfa,1,Sand,0.395,12.1,0.694,4.95,5/9/2015,10/8/2015,152,24,1.18601381,0.355245656
